"ENTREZID","logFC"
73694,-0.728568656
381110,0.640136902
381112,-0.606129559
224481,-0.505619013
240023,0.998614984
449521,-0.590634194
353130,0.470280953
407831,-0.780852049
57875,0.808376194
54397,0.37290629
15516,-0.606563972
78309,0.596597994
21770,0.48335105
72836,-0.708700397
106766,-1.229708203
76905,0.860302666
56298,-0.766385687
68010,0.659098598
14465,0.513605313
63955,-0.81564922
16210,-0.491168867
67847,-1.037649021
107022,-0.408668902
20496,-1.376103975
621998,-1.105859095
328918,-0.638060905
225283,-0.794270505
13476,-0.481991998
68545,0.591498004
328949,-0.480486152
225651,-0.433127519
17200,1.269536064
26447,-0.87469587
619308,0.718080303
12894,0.629687155
70605,-0.557111146
102635008,0.774968674
14283,2.1917871
108899,-0.63217817
258793,1.576553986
22359,1.125102402
60533,-0.87902479
77125,1.178823804
240660,-0.917679887
12686,-1.381684102
107338,-0.544551632
21684,-1.843057993
433256,-0.913570601
14773,-0.739512463
171180,-1.311046908
69861,-2.001082994
19671,-0.710908035
107975,0.574063503
104401,0.485708949
57431,-0.781534287
225895,-0.796677826
107350,-1.143991919
18552,0.451343887
66206,-0.552836523
226041,0.455783862
53412,-1.009407043
54132,0.617363379
72832,2.109830019
71041,0.928168966
14732,-0.642575533
55947,-1.253035328
209630,0.455427605
100038528,0.542095253
76467,-0.788790438
227627,0.677335139
26569,-0.54226641
26360,0.51454171
59126,0.632465991
72569,-0.778475248
320474,0.795478713
23796,-2.040574386
74088,2.07135165
107723,-0.582568312
72136,-0.693972331
96957,-0.557981881
319996,1.352875905
67333,-0.642711068
67134,0.758660752
66586,-0.473674898
319196,0.801537075
228715,-0.98161483
21407,-1.311710485
18803,-0.502643865
19334,-1.035432401
100043757,0.733633648
52856,-1.127918813
228983,-0.571585604
170768,-1.138932121
76938,-0.38812954
50755,-0.535232187
241230,1.381585184
140483,-0.831053826
227613,-0.767164588
227622,-0.773601671
19215,1.75744593
51875,0.607132214
171171,0.668468279
66220,0.428039115
16819,2.094708604
64685,-0.55641171
227923,0.591785389
269275,-0.720127188
241489,-0.647139896
241556,1.24412325
56348,-0.505114014
67606,0.734470724
67809,-0.560272262
69702,-0.96949775
102638818,-0.556739513
52837,-0.78810188
241694,0.563317068
68108,0.896616235
228859,-0.551679516
65112,-0.489139589
22035,-1.380436347
208691,-0.645475027
18415,-1.156373017
622434,0.568297272
28030,-0.652499287
68957,0.878047199
329702,-1.510480901
140493,0.997170573
229593,-0.467486807
100042889,1.092407012
621893,1.16172876
66789,-0.525607196
19142,1.663152575
271981,-0.553364875
14469,-0.987677238
51886,-0.735247329
19218,-0.80609528
19302,-0.56764199
114893,-0.842910601
72175,-0.716016963
229473,0.51216693
77772,3.676523711
22724,-1.396107174
19172,-1.314747851
23831,-1.131863799
242126,-0.566973954
26938,0.926706047
75540,-0.815595422
68053,-0.769645487
67157,-0.931477753
230027,-1.053867928
242409,0.6747509
230157,-0.447540026
14211,-0.48784933
19359,-0.386358052
22234,0.43784749
52829,-1.22739873
21687,-0.945214778
74464,-1.194903486
14664,1.197915381
20525,0.916926427
12164,-0.756232859
623230,-1.000372612
12399,0.686561191
78806,1.064463604
242705,-0.73713356
26970,-1.013702166
212632,0.636488796
72201,-0.415061735
77032,-0.78860589
67652,-0.642585612
230126,0.461885793
381605,0.41472153
242484,0.71437543
64817,0.666035841
100039054,1.603701622
230316,-0.924328057
242517,-1.021360094
12579,1.160830462
72354,-0.441587069
381538,0.777088291
13119,1.433355015
114143,-0.5691216
230678,0.563980914
258306,0.884699498
106564,-1.313836692
76574,-1.254458512
68050,-1.037304799
73680,-0.730406811
230777,1.350825407
619605,-0.688058377
73162,-0.572727986
213989,1.468653291
236082,-0.654227567
14190,1.15887929
67194,1.042221849
20563,0.684610579
116873,-0.488195274
77569,0.794728473
67878,-0.71035245
231287,0.978959704
57349,1.20090192
56744,0.879262878
55985,1.249413929
15932,0.46828568
19384,-0.648512421
67902,-0.491971626
79565,-0.705039117
22385,-0.995662583
215160,-0.56719151
231871,0.453425079
67238,-0.552535396
320064,-0.503609916
74114,0.608251352
242864,0.680859197
381628,-0.895814381
100502829,-0.727245798
17122,-0.681076589
81840,1.63472866
22388,0.345363067
19017,0.53910244
13204,-0.621327598
16069,-1.393929065
23881,-0.982498728
17329,-1.186869416
15945,1.586920581
231474,0.801056408
191578,-0.852975805
236573,-1.6710001
17472,-1.405993368
70118,-0.612353223
11409,-0.744529427
15445,1.518737437
80291,-1.283946499
14886,0.374110951
18542,0.659934542
75104,-1.422605438
66898,1.229614072
74132,-0.88446599
11987,0.96830727
170676,1.275688466
75725,-0.643175721
16846,-1.731791725
69573,1.425524875
57895,-0.948047916
69993,0.802962732
73998,0.608303018
16098,-1.503708903
232086,0.735748229
74516,0.603249222
22346,-0.626541475
53857,-0.729821266
14412,-1.092157396
60345,-0.455452454
105242817,0.977204758
66184,-0.682179727
213945,-0.884948516
74253,0.605378769
70821,0.893562256
15401,-0.488588243
66873,-0.955872198
107607,-0.500182587
385109,-2.215297668
385120,-1.321912817
636752,-0.979791234
235952,-1.651466728
16114,-1.731526576
381783,-0.865132021
384422,-1.132149393
93674,-0.704078137
17119,0.674700038
18844,0.806201266
243548,-0.620299852
101401,0.572108627
58186,0.812388414
214932,-0.776495792
18205,-1.034992923
21679,0.692936164
243653,-1.145307282
100502936,-0.59762383
232493,-1.417136953
12035,0.701480499
18752,0.752168464
81904,1.722209015
13400,0.841429029
210135,-0.872716679
71241,1.393254202
13107,-1.157998594
545938,-0.605116651
434156,-0.563547119
72244,-0.634649426
75690,1.153530273
14936,0.385951597
74490,0.953683633
78286,0.889892798
53415,-0.836072874
233276,-0.573108762
320845,-1.072858189
18553,-0.578035003
67148,-0.766550231
22411,0.842199703
109689,0.572332371
100379145,0.890481214
11535,0.911348269
68469,-0.615117914
20216,-1.433570161
233806,-0.770419054
233812,-0.478719565
30949,0.476711109
16409,0.901317977
12237,-0.615104195
258201,0.719767555
338417,1.120648622
18733,0.781192394
320749,0.676526532
333182,1.311329122
232879,-0.862596073
232946,-0.477491711
11812,-0.812931578
57278,-0.508887896
14809,0.619866719
12039,-0.644324976
23996,-0.663083101
70584,-0.782327481
620018,0.837896287
84113,0.458498473
18213,0.639477226
14085,0.57671503
68472,-0.699091245
66333,1.266742902
50877,-1.334149769
72590,-0.552115081
20821,-0.698792105
15458,-1.563238725
277935,0.970827251
64297,0.497236018
73658,-0.743202679
69017,-0.837608919
20768,-0.677809587
12055,0.853027721
67865,-0.536946854
17345,-0.836497244
13593,-0.493235751
69546,0.921635338
11501,1.051002805
72040,2.474953616
18218,1.214032289
12577,-1.2947713
79201,0.592976709
101772,0.690634104
20911,0.56131483
102132,-0.882690189
26356,-0.761529724
78335,-0.808215658
272465,-0.722539002
101994,-0.615931741
66822,-0.689041319
13685,0.825966777
244416,-0.728196323
234309,0.426628804
12286,1.103189816
54672,0.870486726
12354,-1.0447705
382051,-0.661726192
192654,-0.413079063
244654,0.684344583
270097,-0.882060093
74440,0.528567034
330863,-1.669546283
15568,-0.543277175
71941,-0.393476761
234072,0.8143333
66423,-0.890060029
20288,1.046145059
102103,0.6562681
66234,-0.771603971
67378,0.641397545
14894,-0.648260579
14719,0.785912477
319446,1.213840598
64340,-0.69766114
20539,0.974753696
76863,-1.258984398
22068,-0.703416691
170748,-1.262241711
244721,-0.950746157
235040,-0.772160176
12797,1.157724613
78658,0.511508151
12282,-0.612865029
14012,-0.895752184
319742,-1.120448297
12955,0.652796094
58233,-1.407633
20361,0.451795035
11737,-0.531143335
69606,-0.481691756
72278,-0.411277538
14697,-0.486358989
12160,-0.722018865
235527,-0.618636639
26432,0.649776514
75552,-0.986039616
24059,1.288688151
12700,-0.892524714
71472,-0.562306718
67213,-0.670804095
69274,0.550623223
208638,-0.902652982
382118,-0.729292581
102436,-0.485720516
83493,-0.784664261
75135,-0.669554543
14739,-0.739540681
235293,-0.587202015
60409,-0.531012924
208117,-0.433427591
68318,0.802425785
70487,0.640797024
83603,-3.62861584
74769,-0.524915666
245020,1.122642406
321022,-0.760300992
67905,-0.845789765
69536,-0.953128403
20347,1.065672087
102791,-0.491058374
70031,-0.833131775
18799,0.460904248
215418,0.997221469
66776,-0.91721015
20977,-0.562531347
70226,0.856029579
22439,-0.728316254
382207,0.646182757
236733,0.556515661
67050,-0.771275031
208748,-0.847932445
102857,0.798884737
11666,0.86785005
237010,-0.820677779
68792,-0.965877366
66889,-0.679533252
207375,0.458908443
18824,0.457389451
69824,1.193173349
77286,0.836340358
171170,1.022304168
320923,0.518479957
14168,0.87767152
14396,0.53803244
14069,0.594813253
236915,0.619847947
278180,0.850867348
53380,-0.87809514
50790,0.494839251
75625,-0.524177596
170743,0.709326304
347740,-1.182124232
97998,0.518770304
102632516,0.827545796
69953,-0.829949333
